N=194124, N_branch=500, dt_b=-0.0001, dt_f=0.0001, rtol=1e-9
T_min=0, T_max_b=-6.283185307179586, T_max_f=12.566370614359172, ZOOM=False
Features: normalized position and unit tangent blocks.
Perigee: first noninitial geocentric minimum outside lunar SOI within each interval, before any detected surface entry.
Frame: geocentric inertial axes coincident with synodic axes at t=0.
STD: ddof=0; w statistics use offsets from the cluster circular mean (angle_origin_deg).
angle_resultant: 1=concentrated directions; 0=no defined mean direction. Broad angular clouds require caution with linearized moments.
NaN: missing event, undefined parameter/statistic, or missing representative parameter.

K=10, STD=0.01603226725
n = trajectories per cluster; conditions overlap.
n = 1: clusters=0/10 (0.00%); trajectories=0/194124 (0.00%)
n < 10: clusters=0/10 (0.00%); trajectories=0/194124 (0.00%)
n < 100: clusters=0/10 (0.00%); trajectories=0/194124 (0.00%)

K=10, phase=backward, parameter=a [km]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
0 147032 56047 0 56047 nan nan nan nan nan nan nan nan nan nan nan nan nan
1 33467 11708 11708 0 200954.788 7477.645843 196477.0575 217423.7901 20946.73257 193076.1974 241038.0446 47961.84713 2.339886923 17022.55928 40636.81373 nan nan
2 52405 8936 8936 0 227099.9395 6220.90199 218038.0692 239244.8876 21206.81834 201816.8399 240932.038 39115.1981 0.2359910369 14578.18162 22872.47845 nan nan
3 156649 34130 0 34130 nan nan nan nan nan nan nan nan nan nan nan nan nan
4 40474 10599 10599 0 226820.1961 6131.443096 217104.3003 235666.841 18562.5407 213489.1343 241125.0718 27635.93744 0.02904919007 12928.22204 18386.45283 nan nan
5 138247 28418 0 28418 nan nan nan nan nan nan nan nan nan nan nan nan nan
6 32694 5549 5549 0 224215.2727 11548.93972 203478.6703 239273.2645 35794.59424 193064.5732 241085.7226 48021.14943 -0.265239459 19338.11905 26880.64448 nan nan
7 16324 15123 15123 0 218384.0864 7716.33323 204117.2651 228512.7681 24395.50302 199408.0302 241117.2713 41709.24112 -0.2717036805 13255.32664 24218.56467 nan nan
8 57507 14674 14674 0 209611.2062 4276.172115 203180.9973 216199.6101 13018.61281 193052.5207 233183.6866 40131.16585 0.4061096866 7267.037161 23029.44458 nan nan
9 221423 8940 0 8940 nan nan nan nan nan nan nan nan nan nan nan nan nan

K=10, phase=backward, parameter=e [-]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
0 147032 56047 0 56047 nan nan nan nan nan nan nan nan nan nan nan nan nan
1 33467 11708 11708 0 0.5120884896 0.05874533874 0.3877221319 0.54520004 0.1574779082 0.1708203432 0.570313305 0.3994929619 -2.635475095 0.1285839798 0.3454857685 nan nan
2 52405 8936 8936 0 0.3085332649 0.05515962428 0.1924267302 0.3823749095 0.1899481794 0.1719701926 0.5056374904 0.3336672979 -0.4483255834 0.1366167652 0.1769049482 nan nan
3 156649 34130 0 34130 nan nan nan nan nan nan nan nan nan nan nan nan nan
4 40474 10599 10599 0 0.3109466768 0.05310507726 0.2294707014 0.3898983397 0.1604276382 0.1697173735 0.4185724086 0.2488550351 -0.1767540367 0.1155650942 0.1753184221 nan nan
5 138247 28418 0 28418 nan nan nan nan nan nan nan nan nan nan nan nan nan
6 32694 5549 5549 0 0.3328667494 0.09712211975 0.1918791829 0.4933008467 0.3014216638 0.1700108998 0.5704147561 0.4004038563 0.1193372427 0.1758580163 0.202746157 nan nan
7 16324 15123 15123 0 0.3802596219 0.06051216329 0.2971282814 0.488653612 0.1915253306 0.1699124926 0.5235340682 0.3536215756 0.1911751335 0.103873884 0.221965831 nan nan
8 57507 14674 14674 0 0.4472451475 0.03263106617 0.3967767223 0.4954721601 0.09869543779 0.2534330042 0.5704977882 0.317064784 -0.5265528769 0.05488085633 0.1897863273 nan nan
9 221423 8940 0 8940 nan nan nan nan nan nan nan nan nan nan nan nan nan

K=10, phase=backward, parameter=w [deg]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
0 147032 56047 0 56047 nan nan nan nan nan nan nan nan nan nan nan nan nan
